"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2025","0.006970","0.006977","0.006978","0.006903","8.42K","-0.09%"
"04/13/2025","0.006976","0.007003","0.007034","0.006914","7.74K","-0.36%"
"04/12/2025","0.007001","0.007023","0.007086","0.006982","6.64K","-0.34%"
"04/11/2025","0.007025","0.007263","0.007299","0.006992","19.75K","-3.25%"
"04/10/2025","0.007261","0.007052","0.007262","0.006999","21.67K","2.98%"
"04/09/2025","0.007051","0.007254","0.007281","0.006982","27.49K","-2.80%"
"04/08/2025","0.007254","0.007005","0.007264","0.006973","15.87K","3.54%"
"04/07/2025","0.007006","0.007084","0.007161","0.006971","30.52K","-1.10%"
"04/06/2025","0.007084","0.007099","0.007125","0.006961","12.52K","-0.25%"
"04/05/2025","0.007102","0.007125","0.007180","0.007101","2.54K","-0.32%"
"04/04/2025","0.007125","0.007123","0.007193","0.007067","12.83K","-0.07%"
"04/03/2025","0.007130","0.007159","0.007309","0.007096","20.01K","-0.35%"
"04/02/2025","0.007155","0.007175","0.007181","0.006902","25.98K","-0.28%"
"04/01/2025","0.007175","0.007330","0.007433","0.007136","21.94K","-2.06%"
"03/31/2025","0.007326","0.007309","0.007401","0.007201","19.28K","0.23%"
"03/30/2025","0.007309","0.007296","0.007364","0.007263","10.73K","0.19%"
"03/29/2025","0.007295","0.007340","0.007379","0.007204","14.38K","-0.63%"
"03/28/2025","0.007341","0.007306","0.007462","0.007273","20.93K","0.45%"
"03/27/2025","0.007308","0.007108","0.007353","0.007102","28.65K","2.78%"
"03/26/2025","0.007110","0.007201","0.007224","0.007088","9.45K","-1.33%"
"03/25/2025","0.007206","0.007287","0.007439","0.007137","20.76K","-1.03%"
"03/24/2025","0.007281","0.007246","0.007298","0.007094","20.67K","0.46%"
"03/23/2025","0.007248","0.007477","0.007484","0.007247","9.71K","-3.06%"
"03/22/2025","0.007477","0.007554","0.007554","0.007420","8.29K","-1.02%"
"03/21/2025","0.007554","0.007487","0.007603","0.007415","15.67K","0.89%"
"03/20/2025","0.007487","0.007122","0.007516","0.007097","29.15K","5.07%"
"03/19/2025","0.007126","0.007592","0.007598","0.007124","22.16K","-6.14%"
"03/18/2025","0.007592","0.007514","0.007780","0.007480","27.81K","0.96%"
"03/17/2025","0.007520","0.007292","0.007686","0.007292","38.63K","3.08%"
"03/16/2025","0.007295","0.007347","0.007386","0.007131","16.37K","-0.72%"
"03/15/2025","0.007348","0.006995","0.007349","0.006995","26.02K","4.99%"
"03/14/2025","0.006999","0.007145","0.007159","0.006884","21.56K","-2.08%"
